#_____________________
#  T       s         P        epsilon
154.00 2.1908011843e+00 4.8083660518e+01 2.8929972187e+02
155.00 2.2867788736e+00 5.0322136058e+01 3.0412858935e+02
156.00 2.3865943417e+00 5.2658497490e+01 3.1965021981e+02
157.00 2.4903773992e+00 5.5096647236e+01 3.3589260444e+02
158.00 2.5982610206e+00 5.7640619108e+01 3.5288462214e+02
159.00 2.7103813739e+00 6.0294581486e+01 3.7065605697e+02
160.00 2.8268778510e+00 6.3062840527e+01 3.8923761563e+02
161.00 2.9478930952e+00 6.5949843407e+01 4.0866094492e+02
162.00 3.0735730291e+00 6.8960181578e+01 4.2895864913e+02
163.00 3.2040668811e+00 7.2098594067e+01 4.5016430755e+02
164.00 3.3395272105e+00 7.5369970795e+01 4.7231249173e+02
165.00 3.4801099323e+00 7.8779355915e+01 4.9543878291e+02
166.00 3.6259743399e+00 8.2331951184e+01 5.1957978924e+02
167.00 3.7772831281e+00 8.6033119350e+01 5.4477316305e+02
168.00 3.9342024139e+00 8.9888387568e+01 5.7105761797e+02
169.00 4.0969017567e+00 9.3903450825e+01 5.9847294606e+02
170.00 4.2655541776e+00 9.8084175402e+01 6.2706003480e+02
171.00 4.4403361773e+00 1.0243660233e+02 6.5686088399e+02
172.00 4.6214277532e+00 1.0696695091e+02 6.8791862264e+02
173.00 4.8090124152e+00 1.1168162216e+02 7.2027752566e+02
174.00 5.0032772005e+00 1.1658720241e+02 7.5398303047e+02
175.00 5.2044126876e+00 1.2169046676e+02 7.8908175357e+02
176.00 5.4126130089e+00 1.2699838269e+02 8.2562150688e+02
177.00 5.6280758624e+00 1.3251811358e+02 8.6365131406e+02
178.00 5.8510025220e+00 1.3825702231e+02 9.0322142660e+02
179.00 6.0815978474e+00 1.4422267481e+02 9.4438333987e+02
180.00 6.3200702924e+00 1.5042284367e+02 9.8718980897e+02
181.00 6.5666319126e+00 1.5686551174e+02 1.0316948644e+03
182.00 6.8214983714e+00 1.6355887573e+02 1.0779538279e+03
183.00 7.0848889457e+00 1.7051134982e+02 1.1260233272e+03
184.00 7.3570265300e+00 1.7773156926e+02 1.1759613123e+03
185.00 7.6381376401e+00 1.8522839401e+02 1.2278270694e+03
186.00 7.9284524151e+00 1.9301091238e+02 1.2816812368e+03
187.00 8.2282046192e+00 2.0108844461e+02 1.3375858192e+03
188.00 8.5376316415e+00 2.0947054652e+02 1.3956042021e+03
189.00 8.8569744960e+00 2.1816701313e+02 1.4558011666e+03
190.00 9.1864778196e+00 2.2718788230e+02 1.5182429034e+03
191.00 9.5263898700e+00 2.3654343831e+02 1.5829970269e+03
192.00 9.8769625219e+00 2.4624421553e+02 1.6501325887e+03
193.00 1.0238451263e+01 2.5630100201e+02 1.7197200918e+03
194.00 1.0611115189e+01 2.6672484308e+02 1.7918315037e+03
195.00 1.0995216997e+01 2.7752704497e+02 1.8665402695e+03
196.00 1.1391022979e+01 2.8871917842e+02 1.9439213255e+03
197.00 1.1798803013e+01 3.0031308224e+02 2.0240511112e+03
198.00 1.2218830554e+01 3.1232086691e+02 2.1070075829e+03
199.00 1.2651382630e+01 3.2475491816e+02 2.1928702252e+03
200.00 1.3096739823e+01 3.3762790051e+02 2.2817200640e+03
